calories,protein,carbohydrate,fiber,total_fat,sugars,vitamin_d,vitamin_b12,Cluster,Cluster_Label,Diet_Recommendation
0.9108860342376982,-1.0527648073521718,2.5361753294679477,-0.2670623894524138,-0.6611004235657405,-0.49250904080303715,-0.11777082401649043,-0.2813225773439214,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
2.736000742300421,-0.20661116649502279,-0.3030259579150817,1.7709151422894056,3.8845416196408773,-0.20311056964602114,-0.11777082401649043,-0.2813225773439214,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
-1.1850521466343318,-0.9843887555657355,-0.5957119968417911,0.2248632216576806,-0.6547782510438955,-0.23518495939642092,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
0.8284614990348655,0.18560146389106316,1.8708464139127463,1.3961146766817147,-0.5156904555633035,-0.3583797745740927,-0.11777082401649043,-0.2813225773439214,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
-0.4844435974102543,-0.9729927469346628,0.3036190400608298,-0.173362273050491,-0.5409791456506838,1.280329956309968,-0.11777082401649043,-0.25088947857780736,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
-1.1850521466343318,-0.8951200212889993,-0.6290884749650123,-0.009387069347126228,-0.6484560785220503,-0.3532770307501655,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
-1.084965211030892,-0.604521801196645,-0.5656364890824049,0.38883842536104546,-0.62316738843467,-0.2730910563741661,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
0.32802682101766745,0.4951930317018717,-0.8113753939456821,-0.47788765135673994,0.7866770839367844,-0.49250904080303715,-0.10159441812032423,0.25945017765395073,1,Low-Carb & High-Fiber,Excellent for blood sugar control & gut health. Ideal for PCOS management.
0.43400122342130937,0.8028852647408351,-0.7945037676416362,-0.47788765135673994,0.8498988091552353,-0.45897672424580105,0.02781682904900532,0.023008410317218765,1,Low-Carb & High-Fiber,Excellent for blood sugar control & gut health. Ideal for PCOS management.
0.3751265554192861,1.1067788282361075,-0.48127835756217535,0.9510391237725816,0.47056845784453005,-0.4341919685295831,-0.11777082401649043,0.7019006135613006,1,Low-Carb & High-Fiber,Excellent for blood sugar control & gut health. Ideal for PCOS management.
-1.1850521466343318,-1.0774561593861627,-0.5821413409015802,0.24828825075816133,-0.6674225960875856,-0.03690691366667694,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
0.7224870966312236,0.2767695329396448,2.0149887864668776,2.567366131705749,-0.6421339060002053,2.832293042187265,-0.11777082401649043,-0.2813225773439214,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
-1.0319780098290712,-1.0670098181410126,-0.33016726979550337,-0.40761256405529783,-0.6611004235657405,0.41505039645259234,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
1.063960171042959,0.20459481160951762,1.8404041316684896,-0.47788765135673994,-0.21222617451473935,-0.49250904080303715,-0.11777082401649043,-0.23918444059084049,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
-0.06643345459588876,0.7648985693039259,-0.804039904248271,-0.47788765135673994,0.28090328218917743,-0.49250904080303715,-0.05306520043182565,-0.1712952202664323,1,Low-Carb & High-Fiber,Excellent for blood sugar control & gut health. Ideal for PCOS management.
-0.5433182654122776,0.9890200723816895,-0.8113753939456821,-0.47788765135673994,-0.38292483260455673,-0.49250904080303715,-0.11777082401649043,-0.1712952202664323,1,Low-Carb & High-Fiber,Excellent for blood sugar control & gut health. Ideal for PCOS management.
0.5282006922245467,-0.7925559436093448,0.751083911602917,0.1311631052557579,0.3441250074076283,-0.49250904080303715,-0.11777082401649043,-0.2625945165647743,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
-1.1615022794335224,-0.9910364272671945,-0.5729719787798161,0.1780131634567192,-0.6421339060002053,-0.1921761185947485,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
-0.46089373020944496,0.024158008284199634,0.21926090854060035,-0.47788765135673994,-0.6105230433909798,-0.49250904080303715,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
-0.319594527004589,0.7459052215854715,-0.7545253487907448,-0.4544626222562592,-0.08578272407783766,-0.4108651396202014,0.0763460467375039,-0.049562825201976204,1,Low-Carb & High-Fiber,Excellent for blood sugar control & gut health. Ideal for PCOS management.
-0.9966532090278571,-1.0005331011264218,-0.3004585365209877,0.43568848356200673,-0.6358117334783602,-0.49250904080303715,-0.11777082401649043,-0.2813225773439214,2,Balanced Diet,Good for general well-being. Ensure portion control for PCOS.
-0.26071985900256567,-0.6671998486675449,0.5676966691676354,-0.47788765135673994,-0.5599456632162192,-0.49250904080303715,-0.11777082401649043,-0.2813225773439214,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
0.2691521530156441,-0.4383300086601679,1.7094656405696986,10.227350647562933,-0.2944144172987255,-0.49250904080303715,-0.11777082401649043,-0.2813225773439214,0,High-Protein Foods,Great for muscle building & weight management. Include in a balanced PCOS diet!
